# HXA7241
# 2009-11-20

# (physical books only)

# miscellaneous
# art
# philosophy
# science
# software
# graphics
# fiction

# title | author[, author] | publisher | year (latest) | isbn (including '-'s)

Working With Emotional Intelligence | Daniel Goleman | Bloomsbury | 1988 | 0-7475-3984-7
Food From The Place Below | Bill Sewell, Ian Burleigh, Frances Tomlinson | Thorsons | 1996 | 0-7225-3230-X
Ask The Headhunter | Nick A Corcodilos | Nicholas Brealey | 1997 | 1-85788-190-7
Built To Last | James C Collins, Jerry I Porras | Random House | 1998 | 0-7126-7961-8
Serious Creativity | Edward de Bono | Harper Collins | 1994 | 0-00-637958-3
Thinkertoys | Michael Michalko | Ten Speed Press | 1991 | 0-89815-408-1
How To Solve It | G Polya | Penguin | 1990 | 0-14-012499-3
Accidental Empires | Robert X Cringely | Penguin | 1996 | 0-14-025826-4
Conversationally Speaking | Alan Garner | Lowell House | 1997 | 1-56565-629-6
SAS Survival Guide | John Wiseman | Collins | 1999 | 0-00-472302-3
The SAS Urban Survival Handbook | John Wiseman | Harper Collins | 1996 | 0-00-255803-3
SAS Self-Defence | Barry Davies | Collins | 1999 | 0-00-472301-5
The Timeless Way Of Building | Christopher Alexander | Oxford | 1979 | 0-19-502402-8
Better Sight Without Glasses | Harry Benjamin | Thorsons | 1992 | 0-7225-2770-5
Getting To Yes | Roger Fisher, William Ury, Bruce Patton | Arrow Books | 1997 | 0-09-924842-5
Influence Science And Practice | Robert B Cialdini | Allyn And Bacon | 2001 | 0-321-01147-3
What Color Is Your Parachute | Richard Nelson Bolles | Ten Speed Press | 2003 | 1-58008-460-5
The Wolff Olins Guide To Corporate Identity | Wally Olins | Wolff Olins | 1984 | 0-9509257-0-5
The Notebooks | Leonardo Da Vinci, Irma A Richter | Oxford | 1990 | 0-19-281538-5
The Brand New Monty Python Papperbok |  | Eyre Methuen |  | 0-413-31970-9
Monty Python's Big Red Book |  | Methuen |  | 0-413-29520-6
The Life Of Brian |  | Eyre Methuen | 1979 | 413-46550-0

Greek Art | John Boardman | Thames & Hudson | 1991 | 0-500-20194-3
Greek Sculpture The Classical Period | John Boardman | Thames & Hudson | 2002 | 0-500-20198-6
Old Master Life Drawings | James Spero | Dover | 1986 | 0-486-25233-7
Bridgman's Life Drawing | George B Bridgman | Dover | 1961 | 0-486-22710-3
Dynamic Anatomy | Burne Hogarth | Watson Guptill | 1990 | 0-8230-1551-3
Dore's Illustrations For Ariosto's 'Orlando Furioso' | Gustave Dore | Dover | 1980 | 0-486-23973-X
Pugin's Gothic Ornament | Augustus Charles Pugin | Dover | 1986 | 0-486-25500-X
The Book Of Signs | Rudolf Koch, Vyvyan Holland | Dover |  | 0-486-20162-7
The Magic Mirror Of M C Escher | M C Escher, Bruno Ernst | Ballantine Books | 1976 | 0-345-29450-5
Magritte The True Art Of Painting | Magritte, Harry Torczyner, Richard Miller | Thames And Hudson | 1979 | 0-500-27157-7
One Hundred Flowers | Georgia O'Keefe | Phaidon | 1987 | 0-7148-2696-0
The Universal Penman | George Bickham | Dover | 1968 | 0-486-20616-5
Writing And Illuminating And Lettering | Edward Johnston | John Hogg | 1918 |
The Calligrapher's Handbook | Heather Child | A&C Black | 1986 | 0-7136-2695-X
The Mystic Art Of Written Forms | Friedrich Neugebauer, Bruce Kennett | Neugebauer Press | 1980 | 0-907234-50-X
Decorative Alphabets And Initials | Alexander Nesbitt | Dover | 1959 | 0-486-20544-4
The Student's Guide To Western Calligraphy | Joyce Irene Whalley | Shambhala | 1984 | 0-394-72189-6
Contemporary Calligraphy Modern Scribes And Lettering Artists II |  | Trefoil | 1988 | 0-86294-072-9
Pacific Wave California Graphic Design |  | Magnus | 1987 | 88-7057-070-3
An Eye For Fractals | Michael McGuire | Addison Wesley | 1991 | 0-201-55440-2
Nature's Chaos | James Gleick, Eliot Porter | Abacus | 1996 | 0-349-10801-3
A Book Of Colors | Shigenobu Kobayashi | Kodansha International | 1989 | 0-87011-800-5
Anarchitecture | Lebbeus Woods | Academy Editions / St Martin's Press | 1992 | 1-85490-149-4
Spacecraft 2000 To 2100 AD | Stewart Cowley | Hamlyn | 1978 | 0-600-383-385

The Presocratic Philosophers | Jonathan Barnes | Routledge & Kegan Paul | 1986 | 0-7100-9200-8
Early Greek Philosophy | Jonathan Barnes | Penguin | 1987 | 0-14-044461-0
Timaeus And Critias | Plato, Desmond Lee | Penguin | 1981 | 0-14-044261-8
Phaedrus, Letter VII, Letter VIII | Plato, Walter Hamilton | Penguin | 1983 | 0-14-044275-8
The Symposium | Plato, Walter Hamilton | Penguin | 1973 | 0-14-044024-0
Philebus | Plato, Robin A H Waterfield | Penguin | 1982 | 0-14-044395-9
Gorgias | Plato, Walter Hamilton | Penguin | 1975 | 0-14-044094-1
Euthyphro, The Apology, Crito, Phaedo | Plato, Hugh Tredennick | Penguin | 1982 | 0-14-044037-2
Protagoras And Meno | Plato, W K C Guthrie | Penguin | 1976 | 0-14-044068-2
The Republic | Plato, Desmond Lee | Penguin | 1983 | 0-14-044048-8
Theaetetus | Plato, Robin A H Waterfield | Penguin | 1987 | 0-14-044450-5
The Nicomachean Ethics | Aristotle, David Ross | Oxford | 1990 | 0-19-281518-0
A Treatise Of Human Nature Book One | David Hume | Fontana-Collins | 1987 | 0-00-632909-8
Enquiries | David Hume | Oxford | 1989 | 0-19-824536-X
An Essay Concerning Human Understanding | John Locke | J M Dent & Sons | 1990 | 0-460-11332-1
Philosophical Works | Berkeley | J M Dent & Sons | 1989 | 0-460-11483-2
Ethics | Spinoza, G H R Parkinson | J M Dent & Sons | 1989 | 0-460-11481-6
Selected Philosophical Writings | Descartes, John Cottingham, Robert Stoothoff, Dugald Murdoch | Cambridge | 1989 | 0-521-35812-4
Philosophical Writings | Leibniz, G H R Parkinson | J M Dent & Sons | 1990 | 0-460-87045-9
Kant | Roger Scruton | Oxford | 1982 | 0-19-287577-9
Kant Selections | Kant, Lewis White Beck | Macmillan | 1988 | 0-02-307821-9
Critique Of Pure Reason | Immanuel Kant, Norman Kemp Smith | Macmillan | 1990 | 0-333-05713-9
Critique Of Judgment | Immanuel Kant, Werner S Pluhar | Hackett | 1987 | 0-87220-025-6
Kant's Transcendental Idealism | Henry E Allison | Yale University Press | 1983 | 0-300-03629-9
Utilitarianism And Other Essays | John Stuart Mill, Jeremy Bentham | Penguin | 1987 | 0-14-043272-8
Human All Too Human | Friedrich Nietzsche, R J Hollingdale | Cambridge | 1988 | 0-521-31945-5
Daybreak | Friedrich Nietzsche, R J Hollingdale | Cambridge | 1987 | 0-521-28665-X
The Gay Science | Friedrich Nietzsche, Walter Kaufmann | Vintage | 1974 | 0-394-71985-9
Thus Spoke Zarathustra | Friedrich Nietzsche, R J Hollingdale | Penguin | 1978 | 0-14-044118-2
Beyond Good And Evil | Friedrich Nietzsche, R J Hollingdale | Penguin | 1988 | 0-14-044267-7
Twilight Of The Idols, The Anti-Christ | Friedrich Nietzsche, R J Hollingdale | Penguin | 1988 | 0-14-044207-3
Ecce Homo | Friedrich Nietzsche, R J Hollingdale | Penguin | 1982 | 0-14-044393-2
Ecce Homo | Friedrich Nietzsche, R J Hollingdale | Penguin | 1988 | 0-14-044393-2
Tractatus Logico-Philosophicus | Ludwig Wittgenstein, D F Pears, B F McGuinness | Routledge | 1989 | 0-415-02825-6
The Blue And Brown Books | Ludwig Wittgenstein | Blackwell | 1994 | 0-631-14660-1
Zettel | Ludwig Wittgenstein | Blackwell | 1990 | 0-631-12823-9
Philosophical Investigations | Ludwig Wittgenstein | Blackwell | 1989 | 0-631-14670-9
The Problem Of Knowledge | A J Ayer | Penguin | 1988 | 0-14-020377-X
The Problems Of Philosophy | Bertrand Russell | Oxford | 1989 | 0-19-888018-9
Naming And Necessity | Saul Kripke | Blackwell | 1988 | 0-631-12801-8
Lectures And Conversations On Aesthetics Psychology And Religious Belief | Ludwig Wittgenstein, Yorick Smythies, Rush Rhees, James Taylor | Blackwell | 1989 | 0-631-09580-2
An Introduction To Plato's Republic | Julia Annas | Oxford | 1989 | 0-19-827429-7
Plato's Theaetetus | David Bostock | Oxford | 1991 | 0-19-823930-0
Platonic Studies | Gregory Vlastos | Princeton University | 1981 | 0-691-10021-7
Plato's Earlier Dialectic | Richard Robinson | Oxford | 1953 | 0-19-824777-X
Spinoza An Introduction To His Philosophical Thought | Stuart Hampshire | Penguin | 1987 | 0-14-022778-4
A Study Of Spinoza's Ethics | Jonathon Bennett | Hackett | 1988 | 0-915145-83-9
Problems From Locke | J L Mackie | Oxford | 1991 | 0-19-875036-6
The Bounds Of Sense | P F Strawson | Routledge | 1989 | 0-415-04030-2
Ethics Inventing Right And Wrong | J L Mackie | Penguin | 1977 | 0-14-021957-9
The Languages Of Logic | Samuel Guttenplan | Blackwell | 1989 | 0-631-14625-3

The Self-Made Tapestry | Philip Ball | Oxford | 1999 | 0-19-850244-3
A Colour Atlas Of Plant Structure | Bryan G Bowes | Manson Publishing | 1996 | 1-874545-16-2
Genomes 2 | T A Brown | Bios | 2002 | 1-85996-029-4
On Growth And Form | D'Arcy Wentworth Thompson, John Tyler Bonner | Cambridge | 1995 | 0-521-43776-8
The Triumph Of The Embryo | Lewis Wolpert | Oxford | 1993 | 0-19-854799-4
Principles Of Development | Lewis Wolpert, Rosa Beddington, Thomas Jessell, Peter Lawrence, Elliot Meyerowitz, Jim Smith | Oxford | 2002 | 0-19-879291-3
Developmental Biology | Scott F Gilbert | Sinauer | 1991 | 0-87893-245-3
