# HXA7241
# 2009-11-20

# (physical books only)

# miscellaneous
# art
# philosophy
# science
# software
# graphics
# fiction

# title | author[, author] | publisher | year (latest) | isbn (including '-'s)

Vita Nuova | Dante, Mark Musa | Oxford | 1992 | 0-19-282877-0
La Vita Nuova | Dante, Barbara Reynolds | Penguin | 1969 | 0-14-044216-2
Selections From The Canzoniere And Other Works | Petrarch, Mark Musa | Oxford | 1992 | 0-19-281707-8
Selections From The Canzoniere And Other Works | Petrarch, Mark Musa | Oxford | 1985 | 0-19-281707-8
King Lear | Shakespeare | Penguin | 1987 | 0-14-070724-7
Macbeth | Shakespeare | Penguin | 1967 | 0-14-070705-0
Hamlet | Shakespeare | Penguin | 1980 | 0-14-070734-4
The Sorrows Of Young Werther | Goethe, Michael Hulse | Penguin | 1989 | 0-14-044503-X
Elective Affinities | Goethe, R J Hollingdale | Penguin | 1987 | 0-14-044242-1
Letters From Italy | Goethe, W H Auden, Elizabeth Mayer | Penguin | 1995 | 0-14-600198-2
Faust 1 | Johann Wolfgang Von Goethe, Philip Wayne | Penguin | 1960 |
Faust 2 | Johann Wolfgang Von Goethe, Philip Wayne | Penguin | 1959 |
Headlong Hall | Thomas Love Peacock | J M Dent & Co | 1891 |
Melincourt | Thomas Love Peacock | J M Dent & Co | 1891 |
The Pickwick Papers | Charles Dickens | Penguin | 1986 | 0-14-043078-4
Against The Grain | Joris-Karl Huysmans, John Howard | Lieber & Lewis | 1922 |
Against Nature | Joris-Karl Huysmans, Robert Baldick | Penguin | 1973 | 0-14-044086-0
The Portable Blake | Blake | Penguin | 1976 | 0-14-015026-9
Shelley | Shelley | Penguin | 1956 | 0-14-058504-4
Coleridge | Coleridge | Penguin | 1985 | 0-14-058501-X
Idylls Of The King | Tennyson | Penguin | 1983 | 0-14-042253-6
Conversations Of Goethe With Eckermann And Soret | Johann Peter Eckermann, John Oxenford | George Bell & Sons | 1906 |
A Portrait Of The Artist As A Young Man | James Joyce | Penguin | 1970 | 14-001477-2
Jean Santeuil | Marcel Proust, Gerard Hopkins | Penguin | 1985 | 0-14-018524-0
Remembrance Of Things Past 1 | Marcel Proust, C K Scott-Moncrieff, Terence Kilmartin | Penguin | 1989 | 0-14-018222-5
Remembrance Of Things Past 2 | Marcel Proust, C K Scott-Moncrieff, Terence Kilmartin | Penguin | 1989 | 0-14-018223-3
Remembrance Of Things Past 3 | Marcel Proust, C K Scott-Moncrieff, Terence Kilmartin | Penguin | 1989 | 0-14-018224-1
The Outsider | Albert Camus | Penguin | 1963 |
The Journey To The East | Herman Hesse | Panther | 1974 | 586-03826-4
Diary Of A Madman, The Nose, The Overcoat, How Ivan Ivanovich Quarrelled With Ivan Nikiforovich, Ivan Fyodorovich Shponka And His Aunt | Nikolai Gogol, Ronald Wilks | Penguin | 1972 | 0-14-044273-1
The Trial | Franz Kafka | Penguin | 1975 | 0-14-000907-8
Death In Venice, Tristan, Tonio Kroger | Thomas Mann, H T Lowe-Porter | Penguin | 1988 | 0-14-001082-3
Heart Of Darkness | Joseph Conrad | Penguin | 1986 | 0-14-043168-3
On The Road | Jack Kerouac | Penguin | 1980 | 0-14-003192-8
The Titus Books | Mervyn Peake | Penguin | 1983 | 0-14-006835-X
Gabriela Clove And Cinnamon | Jorge Amado, James L Taylor, William Grossman | Avon | 1988 | 0-380-75470-3
The Alchemist | Paulo Coelho, Alan R Clarke | Harper Collins | 1993 | 0-06-250266-2
Stranger To The Ground | Richard Bach | Dell | 1990 | 0-440-20658-8
Biplane | Richard Bach | Dell | 1990 | 0-440-20657-X
Nothing By Chance | Richard Bach | Dell | 1990 | 0-440-20656-1
A Gift Of Wings | Richard Bach | Dell | 1989 | 0-440-20432-1
Illusions | Richard Bach | Pan | 1978 | 0-330-25355-7
The Bridge Across Forever | Richard Bach | Pan | 1985 | 0-330-29081-9
One | Richard Bach | Pan | 1988 | 0-330-31173-5
Microserfs | Douglas Coupland | Flamingo | 1996 | 0-00-654859-8
